Index,Lat,Lon,UTC,time
6005,21.00852783,105.8498242,2305:476931.000,28:33.0
6006,21.0085285,105.8498278,2305:476931.050,28:33.0
6007,21.008529,105.8498315,2305:476931.100,28:33.1
6008,21.0085295,105.849835,2305:476931.150,28:33.1
6009,21.00853,105.8498385,2305:476931.200,28:33.2
6010,21.00853033,105.849842,2305:476931.250,28:33.2
6011,21.008531,105.8498455,2305:476931.300,28:33.3
6012,21.0085315,105.8498492,2305:476931.350,28:33.3
6013,21.008532,105.8498527,2305:476931.400,28:33.4
6014,21.0085325,105.8498562,2305:476931.450,28:33.4
6015,21.008533,105.8498597,2305:476931.500,28:33.5
6016,21.00853333,105.8498632,2305:476931.550,28:33.5
6017,21.00853383,105.8498665,2305:476931.600,28:33.6
6018,21.0085345,105.84987,2305:476931.650,28:33.6
6019,21.00853483,105.8498735,2305:476931.700,28:33.7
6020,21.0085355,105.8498768,2305:476931.750,28:33.7
6021,21.008536,105.8498802,2305:476931.800,28:33.8
6022,21.00853633,105.8498837,2305:476931.850,28:33.8
6023,21.00853683,105.849887,2305:476931.900,28:33.9
6024,21.00853733,105.8498903,2305:476931.950,28:33.9
6025,21.00853783,105.8498935,2305:476932.000,28:34.0
6026,21.00853833,105.8498968,2305:476932.050,28:34.0
6027,21.00853867,105.8499002,2305:476932.100,28:34.1
6028,21.00853917,105.8499033,2305:476932.150,28:34.1
6029,21.00853967,105.8499065,2305:476932.200,28:34.2
6030,21.00854017,105.8499097,2305:476932.250,28:34.2
6031,21.0085405,105.8499127,2305:476932.300,28:34.3
6032,21.008541,105.849916,2305:476932.350,28:34.3
6033,21.00854133,105.8499192,2305:476932.400,28:34.4
6034,21.00854183,105.8499222,2305:476932.450,28:34.5
6035,21.00854217,105.8499253,2305:476932.500,28:34.5
6036,21.00854267,105.8499285,2305:476932.550,28:34.5
6037,21.00854333,105.8499317,2305:476932.600,28:34.6
6038,21.00854367,105.8499348,2305:476932.650,28:34.6
6039,21.00854417,105.849938,2305:476932.700,28:34.7
6040,21.0085445,105.849941,2305:476932.750,28:34.7
6041,21.008545,105.8499442,2305:476932.800,28:34.8
6042,21.0085455,105.8499472,2305:476932.850,28:34.8
6043,21.00854583,105.8499503,2305:476932.900,28:34.9
6044,21.00854633,105.8499535,2305:476932.950,28:34.9
6045,21.0085465,105.8499563,2305:476933.000,28:35.0
6046,21.00854667,105.8499593,2305:476933.050,28:35.0
6047,21.00854717,105.8499623,2305:476933.100,28:35.1
6048,21.00854733,105.8499652,2305:476933.150,28:35.2
6049,21.00854783,105.8499683,2305:476933.200,28:35.2
6050,21.0085485,105.8499715,2305:476933.250,28:35.2
6051,21.00854867,105.8499747,2305:476933.300,28:35.3
6052,21.008549,105.8499777,2305:476933.350,28:35.3
6053,21.0085495,105.8499808,2305:476933.400,28:35.4
6054,21.00855,105.8499838,2305:476933.450,28:35.4
6055,21.00855067,105.849987,2305:476933.500,28:35.5
6056,21.00855083,105.8499902,2305:476933.550,28:35.5
6057,21.00855133,105.8499933,2305:476933.600,28:35.6
6058,21.00855183,105.8499962,2305:476933.650,28:35.6
6059,21.00855233,105.8499993,2305:476933.700,28:35.7
6060,21.00855283,105.8500025,2305:476933.750,28:35.7
6061,21.00855333,105.8500055,2305:476933.800,28:35.8
6062,21.00855383,105.8500085,2305:476933.850,28:35.8
6063,21.00855417,105.8500117,2305:476933.900,28:35.9
6064,21.0085545,105.8500147,2305:476933.950,28:35.9
6065,21.00855483,105.8500178,2305:476934.000,28:36.0
6066,21.00855533,105.8500207,2305:476934.050,28:36.0
6067,21.00855617,105.8500268,2305:476934.150,28:36.1
6068,21.00855633,105.8500298,2305:476934.200,28:36.2
6069,21.00855683,105.8500325,2305:476934.250,28:36.2
6070,21.00855717,105.8500355,2305:476934.300,28:36.3
6071,21.0085575,105.8500385,2305:476934.350,28:36.3
6072,21.00855783,105.8500412,2305:476934.400,28:36.4
6073,21.00855833,105.850044,2305:476934.450,28:36.4
6074,21.00855883,105.8500468,2305:476934.500,28:36.5
6075,21.00855917,105.8500495,2305:476934.550,28:36.5
6076,21.0085595,105.850052,2305:476934.600,28:36.6
