Index,Lat,Lon,GPS time,UTC
6708,20.98300867,105.92539600,2305:523352.900,01:22:14.950 03/16/2024
6709,20.98301317,105.92539367,2305:523352.950,01:22:15.000 03/16/2024
6710,20.98301783,105.92539117,2305:523353.000,01:22:15.050 03/16/2024
6711,20.98302200,105.92538900,2305:523353.050,01:22:15.100 03/16/2024
6712,20.98302617,105.92538700,2305:523353.100,01:22:15.150 03/16/2024
6713,20.98303033,105.92538483,2305:523353.150,01:22:15.200 03/16/2024
6714,20.98303467,105.92538267,2305:523353.200,01:22:15.250 03/16/2024
6715,20.98303833,105.92538017,2305:523353.250,01:22:15.300 03/16/2024
6716,20.98304267,105.92537800,2305:523353.300,01:22:15.350 03/16/2024
6717,20.98304633,105.92537583,2305:523353.350,01:22:15.400 03/16/2024
6718,20.98305050,105.92537367,2305:523353.400,01:22:15.450 03/16/2024
6719,20.98305450,105.92537200,2305:523353.450,01:22:15.500 03/16/2024
6720,20.98305867,105.92536967,2305:523353.500,01:22:15.550 03/16/2024
6721,20.98306283,105.92536767,2305:523353.550,01:22:15.600 03/16/2024
6722,20.98306733,105.92536583,2305:523353.600,01:22:15.650 03/16/2024
6723,20.98307150,105.92536400,2305:523353.650,01:22:15.700 03/16/2024
6724,20.98307567,105.92536250,2305:523353.700,01:22:15.750 03/16/2024
6725,20.98307983,105.92536133,2305:523353.750,01:22:15.800 03/16/2024
6726,20.98308400,105.92535950,2305:523353.800,01:22:15.850 03/16/2024
6727,20.98308800,105.92535767,2305:523353.850,01:22:15.900 03/16/2024
6728,20.98309217,105.92535550,2305:523353.900,01:22:15.950 03/16/2024
6729,20.98309633,105.92535333,2305:523353.950,01:22:16.000 03/16/2024
6730,20.98310083,105.92535067,2305:523354.000,01:22:16.050 03/16/2024
6731,20.98310500,105.92534867,2305:523354.050,01:22:16.100 03/16/2024
6732,20.98310900,105.92534650,2305:523354.100,01:22:16.150 03/16/2024
6733,20.98311300,105.92534433,2305:523354.150,01:22:16.200 03/16/2024
6734,20.98311733,105.92534167,2305:523354.200,01:22:16.250 03/16/2024
6735,20.98312117,105.92533950,2305:523354.250,01:22:16.300 03/16/2024
6736,20.98312533,105.92533700,2305:523354.300,01:22:16.350 03/16/2024
6737,20.98312950,105.92533433,2305:523354.350,01:22:16.400 03/16/2024
6738,20.98313400,105.92533217,2305:523354.400,01:22:16.450 03/16/2024
6739,20.98313800,105.92532967,2305:523354.450,01:22:16.500 03/16/2024
6740,20.98314200,105.92532717,2305:523354.500,01:22:16.550 03/16/2024
6741,20.98314617,105.92532467,2305:523354.550,01:22:16.600 03/16/2024
6742,20.98315033,105.92532283,2305:523354.600,01:22:16.650 03/16/2024
6743,20.98315433,105.92532083,2305:523354.650,01:22:16.700 03/16/2024
6744,20.98315850,105.92531883,2305:523354.700,01:22:16.750 03/16/2024
6745,20.98316250,105.92531717,2305:523354.750,01:22:16.800 03/16/2024
6746,20.98316683,105.92531467,2305:523354.800,01:22:16.850 03/16/2024
6747,20.98317100,105.92531300,2305:523354.850,01:22:16.900 03/16/2024
6748,20.98317467,105.92531117,2305:523354.900,01:22:16.950 03/16/2024
6749,20.98317833,105.92530967,2305:523354.950,01:22:17.000 03/16/2024
6750,20.98318217,105.92530800,2305:523355.000,01:22:17.050 03/16/2024
6751,20.98318600,105.92530667,2305:523355.050,01:22:17.100 03/16/2024
6752,20.98318983,105.92530550,2305:523355.100,01:22:17.150 03/16/2024
6753,20.98319367,105.92530367,2305:523355.150,01:22:17.200 03/16/2024
6754,20.98319750,105.92530183,2305:523355.250,01:22:17.250 03/16/2024
6755,20.98320117,105.92530017,2305:523355.250,01:22:17.300 03/16/2024
6756,20.98320500,105.92529850,2305:523355.300,01:22:17.350 03/16/2024
6757,20.98320883,105.92529683,2305:523355.350,01:22:17.400 03/16/2024
6758,20.98321267,105.92529517,2305:523355.400,01:22:17.450 03/16/2024
6759,20.98321650,105.92529350,2305:523355.450,01:22:17.500 03/16/2024
6760,20.98322017,105.92529150,2305:523355.500,01:22:17.550 03/16/2024
6761,20.98322400,105.92528950,2305:523355.550,01:22:17.600 03/16/2024
6762,20.98322767,105.92528800,2305:523355.600,01:22:17.650 03/16/2024
6763,20.98323117,105.92528650,2305:523355.650,01:22:17.700 03/16/2024
6764,20.98323483,105.92528500,2305:523355.700,01:22:17.750 03/16/2024
6765,20.98323867,105.92528333,2305:523355.750,01:22:17.800 03/16/2024
6766,20.98324233,105.92528217,2305:523355.800,01:22:17.850 03/16/2024
6767,20.98324600,105.92528067,2305:523355.850,01:22:17.900 03/16/2024
6768,20.98324967,105.92527883,2305:523355.900,01:22:17.950 03/16/2024
6769,20.98325333,105.92527700,2305:523355.950,01:22:18.000 03/16/2024
6770,20.98325717,105.92527483,2305:523356.000,01:22:18.050 03/16/2024
6771,20.98326050,105.92527383,2305:523356.050,01:22:18.100 03/16/2024
6772,20.98326417,105.92527167,2305:523356.100,01:22:18.150 03/16/2024
6773,20.98326733,105.92527117,2305:523356.200,01:22:18.200 03/16/2024
6774,20.98327067,105.92527017,2305:523356.200,01:22:18.250 03/16/2024
6775,20.98327433,105.92526733,2305:523356.250,01:22:18.300 03/16/2024
6776,20.98327783,105.92526533,2305:523356.300,01:22:18.350 03/16/2024
6777,20.98328150,105.92526317,2305:523356.350,01:22:18.400 03/16/2024
6778,20.98328533,105.92526083,2305:523356.400,01:22:18.450 03/16/2024
6779,20.98328850,105.92525950,2305:523356.450,01:22:18.500 03/16/2024
6780,20.98329200,105.92525750,2305:523356.500,01:22:18.550 03/16/2024
6781,20.98329517,105.92525583,2305:523356.550,01:22:18.600 03/16/2024
6782,20.98329833,105.92525383,2305:523356.600,01:22:18.650 03/16/2024
6783,20.98330183,105.92525100,2305:523356.650,01:22:18.700 03/16/2024
6784,20.98330550,105.92524750,2305:523356.700,01:22:18.750 03/16/2024
6785,20.98330917,105.92524433,2305:523356.750,01:22:18.800 03/16/2024
6786,20.98331333,105.92524100,2305:523356.800,01:22:18.850 03/16/2024
6787,20.98331683,105.92523867,2305:523356.850,01:22:18.900 03/16/2024
6788,20.98332000,105.92523700,2305:523356.900,01:22:18.950 03/16/2024
6789,20.98332317,105.92523533,2305:523356.950,01:22:19.000 03/16/2024
6790,20.98332667,105.92523283,2305:523357.050,01:22:19.050 03/16/2024
6791,20.98333017,105.92523083,2305:523357.050,01:22:19.100 03/16/2024
6792,20.98333333,105.92522933,2305:523357.100,01:22:19.150 03/16/2024
6793,20.98333683,105.92522733,2305:523357.150,01:22:19.200 03/16/2024
6794,20.98334017,105.92522500,2305:523357.200,01:22:19.250 03/16/2024
6795,20.98334383,105.92522267,2305:523357.250,01:22:19.300 03/16/2024
6796,20.98334717,105.92522050,2305:523357.300,01:22:19.350 03/16/2024
6797,20.98335050,105.92521817,2305:523357.350,01:22:19.400 03/16/2024
6798,20.98335367,105.92521650,2305:523357.400,01:22:19.450 03/16/2024
6799,20.98335683,105.92521483,2305:523357.450,01:22:19.500 03/16/2024
6800,20.98336000,105.92521350,2305:523357.500,01:22:19.550 03/16/2024
6801,20.98336350,105.92521133,2305:523357.550,01:22:19.600 03/16/2024
6802,20.98336667,105.92520933,2305:523357.600,01:22:19.650 03/16/2024
6803,20.98336967,105.92520733,2305:523357.650,01:22:19.700 03/16/2024
6804,20.98337283,105.92520567,2305:523357.700,01:22:19.750 03/16/2024
6805,20.98337600,105.92520417,2305:523357.750,01:22:19.800 03/16/2024
6806,20.98337917,105.92520233,2305:523357.800,01:22:19.850 03/16/2024
6807,20.98338233,105.92520100,2305:523357.850,01:22:19.900 03/16/2024
6808,20.98338550,105.92519933,2305:523357.900,01:22:19.950 03/16/2024
6809,20.98338850,105.92519767,2305:523357.950,01:22:20.000 03/16/2024
6810,20.98339150,105.92519600,2305:523358.000,01:22:20.050 03/16/2024
